NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;
276;Taillow;40;55;30;30;30;85;270.0;Normal;Flying;Guts;N/A;Scrappy;1 Spe;Neutral;Flying;N/A;200;N/A;
277;Swellow;60;85;60;75;50;125;455.0;Normal;Flying;Guts;N/A;Scrappy;2 Spe;Neutral;Flying;N/A;45;Lv. 22;
278;Wingull;40;30;30;55;30;85;270.0;Water;Flying;Keen Eye;N/A;Rain Dish;1 Spe;Neutral;Water 1;Flying;190;N/A;
279;Pelipper;60;50;100;95;70;65;440.0;Water;Flying;Keen Eye;N/A;Rain Dish;2 Def;Neutral;Water 1;Flying;45;Lv. 25;
280;Ralts;28;25;25;45;35;40;198.0;Psychic;Fairy;Synchronize;Trace;Pixilate;1 SpA;Neutral;Human-Like;Amorphous;235;N/A;
281;Kirlia;38;35;35;65;55;50;278.0;Psychic;Fairy;Synchronize;Trace;Pixilate;2 SpA;Neutral;Human-Like;Amorphous;120;Lv. 20;
282;Gardevoir;68;65;65;125;115;80;518.0;Psychic;Fairy;Synchronize;Trace;Pixilate;3 SpA;Neutral;Human-Like;Amorphous;45;Lv. 30;
282;Mega Gardevoir;68;85;65;165;135;100;618.0;Psychic;Fairy;Pixilate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
283;Surskit;40;30;32;50;52;65;269.0;Bug;Water;Swift Swim;N/A;Rain Dish;1 Spe;Neutral;Water 1;Bug;200;N/A;
284;Masquerain;70;60;62;100;82;80;454.0;Bug;Flying;Intimidate;N/A;Unnerve;1 SpA/1 SpD;Neutral;Water 1;Bug;75;Lv. 22;
285;Shroomish;60;40;60;40;60;35;295.0;Grass;N/A;Effect Spore;Poison Heal;Quick Feet;1 HP;Neutral;Fairy;Grass;255;N/A;
286;Breloom;60;130;80;60;60;70;460.0;Grass;Fighting;Effect Spore;Poison Heal;Technician;2 Atk;Neutral;Fairy;Grass;90;Lv. 23;
287;Slakoth;60;60;60;35;35;30;280.0;Normal;N/A;Truant;N/A;N/A;1 HP;Neutral;Field;N/A;255;N/A;
288;Vigoroth;80;80;80;55;55;90;440.0;Normal;N/A;Vital Spirit;N/A;N/A;2 Spe;Neutral;Field;N/A;120;Lv. 18;
289;Slaking;150;160;100;95;65;100;670.0;Normal;N/A;Truant;N/A;N/A;3 HP;Neutral;Field;N/A;45;Lv. 36;
290;Nincada;31;45;90;30;30;40;266.0;Bug;Ground;Compoundeyes;N/A;Run Away;1 Def;Neutral;Bug;N/A;255;N/A;
291;Ninjask;61;90;45;50;50;160;456.0;Bug;Flying;Speed Boost;N/A;Infiltrator;2 Spe;Neutral;Bug;N/A;120;Lv. 20;
292;Shedinja;1;90;45;30;30;40;236.0;Bug;Ghost;Wonder Guard;N/A;N/A;2 HP;N/A;Mineral;N/A;45;Lv. 20 t/ Empty Space;
293;Whismur;64;51;23;51;23;28;240.0;Normal;N/A;Soundproof;N/A;Rattled;1 HP;Neutral;Monster;Field;190;N/A;
294;Loudred;84;71;43;71;43;48;360.0;Normal;N/A;Soundproof;N/A;Scrappy;2 HP;Neutral;Monster;Field;120;Lv. 20;
295;Exploud;104;91;63;91;73;68;490.0;Normal;N/A;Soundproof;N/A;Scrappy;3 HP;Neutral;Monster;Field;45;Lv. 40;
296;Makuhita;72;60;30;20;30;25;237.0;Fighting;N/A;Thick Fat;Guts;Sheer Force;1 HP;M (75%);Human-Like;N/A;180;N/A;
297;Hariyama;144;120;60;40;60;50;474.0;Fighting;N/A;Thick Fat;Guts;Sheer Force;2 HP;M (75%);Human-Like;N/A;200;Lv. 24;
298;Azurill;50;20;40;20;40;20;190.0;Normal;Fairy;Thick Fat;Huge Power;Sap Sipper;1 HP;Neutral;-;N/A;150;N/A;
299;Nosepass;30;45;135;45;90;30;375.0;Rock;N/A;Sturdy;Magnet Pull;Sand Force;1 Def;Neutral;Mineral;N/A;255;N/A;
300;Skitty;50;45;45;35;35;50;260.0;Normal;N/A;Cute Charm;Normalize;Wonder Skin;1 Spe;F (75%);Field;Fairy;255;N/A;
301;Delcatty;70;65;65;55;55;90;400.0;Normal;N/A;Cute Charm;Normalize;Wonder Skin;1 HP/1 Spe;F (75%);Field;Fairy;60;Moon Stone;
302;Mega Sableye;50;85;125;85;115;20;480.0;Dark;Ghost;Magic Bounce;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
302;Sableye;50;75;75;65;65;50;380.0;Dark;Ghost;Keen Eye;Stall;Prankster;1 Atk/1 Def;Neutral;Human-Like;N/A;45;N;
303;Mawile;50;85;85;55;55;50;380.0;Steel;Fairy;Hyper Cutter;Intimidate;Sheer Force;1 Atk/1 Def;Neutral;Field;Fairy;45;N;
303;Mega Mawile;50;105;125;55;95;50;480.0;Steel;Fairy;Huge Power;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
304;Aron;50;70;100;40;40;30;330.0;Steel;Rock;Sturdy;Rock Head;Heavy Metal;1 Def;Neutral;Monster;N/A;180;N/A;
305;Lairon;60;90;140;50;50;40;430.0;Steel;Rock;Sturdy;Rock Head;Heavy Metal;2 Def;Neutral;Monster;N/A;90;Lv. 32;
306;Aggron;70;110;180;60;60;50;530.0;Steel;Rock;Sturdy;Rock Head;Heavy Metal;3 Def;Neutral;Monster;N/A;45;Lv. 42;
306;Mega Aggron;70;140;230;60;80;50;630.0;Steel;N/A;Filter;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
307;Meditite;30;40;55;40;55;60;280.0;Fighting;Psychic;Pure Power;N/A;Telepathy;1 Spe;Neutral;Human-Like;N/A;180;N/A;
308;Medicham;60;60;75;60;75;80;410.0;Fighting;Psychic;Pure Power;N/A;Telepathy;2 Spe;Neutral;Human-Like;N/A;90;Lv. 37;
308;Mega Medicham;60;100;85;80;85;100;510.0;Fighting;Psychic;Pure Power;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
309;Electrike;40;45;40;65;40;65;295.0;Electric;N/A;Static;Lightningrod;Minus;1 Spe;Neutral;Field;N/A;120;N/A;
310;Manectric;70;75;60;105;60;105;475.0;Electric;N/A;Static;Lightningrod;Minus;2 Spe;Neutral;Field;N/A;45;Lv. 26;
310;Mega Manectric;70;75;80;135;80;135;575.0;Electric;N/A;Intimidate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
311;Plusle;60;50;40;85;75;95;405.0;Electric;N/A;Plus;N/A;Lightning Rod;1 Spe;Neutral;Fairy;N/A;200;N;
312;Minun;60;40;50;75;85;95;405.0;Electric;N/A;Minus;N/A;Volt Absorb;1 Spe;Neutral;Fairy;N/A;200;N;
313;Volbeat;65;73;75;47;85;85;430.0;Bug;N/A;Illuminate;Swarm;Prankster;1 Spe;M (100%);Bug;Human-Like;150;N;
314;Illumise;65;47;75;73;85;85;430.0;Bug;N/A;Oblivious;Tinted Lens;Prankster;1 Spe;F (100%);Bug;Human-Like;150;N;
315;Roselia;50;60;45;100;80;65;400.0;Grass;Poison;Natural Cure;Poison Point;Leaf Guard;2 SpA;Neutral;Fairy;Grass;150;Morn/Day Friendship;
316;Gulpin;70;43;53;43;53;40;302.0;Poison;N/A;Liquid Ooze;Sticky Hold;Gluttony;1 HP;Neutral;Amorphous;N/A;225;N/A;
317;Swalot;100;73;83;73;83;55;467.0;Poison;N/A;Liquid Ooze;Sticky Hold;Gluttony;2 HP;Neutral;Amorphous;N/A;75;Lv. 26;
318;Carvanha;45;90;20;65;20;65;305.0;Water;Dark;Rough Skin;N/A;Speed Boost;1 Atk;Neutral;Water 2;N/A;225;N/A;
319;Mega Sharpedo;70;140;70;110;65;105;560.0;Water;Dark;Strong Jaw;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
319;Sharpedo;70;120;40;95;40;95;460.0;Water;Dark;Rough Skin;N/A;Speed Boost;2 Atk;Neutral;Water 2;N/A;60;Lv. 30;
320;Wailmer;130;70;35;70;35;60;400.0;Water;N/A;Water Veil;Oblivious;Pressure;1 HP;Neutral;Field;Water 2;125;N/A;
321;Wailord;170;90;45;90;45;60;500.0;Water;N/A;Water Veil;Oblivious;Pressure;2 HP;Neutral;Field;Water 2;60;Lv. 40;
322;Numel;60;60;40;65;45;35;305.0;Fire;Ground;Oblivious;Simple;Own Tempo;1 SpA;Neutral;Field;N/A;255;N/A;
323;Camerupt;70;100;70;105;75;40;460.0;Fire;Ground;Magma Armor;Solid Rock;Anger Point;1 Atk/1 SpA;Neutral;Field;N/A;150;Lv. 33;
323;Mega Camerupt;70;120;100;145;105;20;560.0;Fire;Ground;Sheer Force;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
324;Torkoal;70;85;140;85;70;20;470.0;Fire;N/A;White Smoke;Drought;Shell Armor;2 Def;Neutral;Field;N/A;90;N;
325;Spoink;60;25;35;70;80;60;330.0;Psychic;N/A;Thick Fat;Own Tempo;Gluttony;1 SpD;Neutral;Field;N/A;255;N/A;
326;Grumpig;80;45;65;90;110;80;470.0;Psychic;N/A;Thick Fat;Own Tempo;Gluttony;2 SpD;Neutral;Field;N/A;60;Lv. 32;
327;Spinda;60;60;60;60;60;60;360.0;Normal;N/A;Own Tempo;Tangled Feet;Contrary;1 SpA;Neutral;Field;Human-Like;255;N;
328;Trapinch;45;100;45;45;45;10;290.0;Ground;N/A;Hyper Cutter;Arena Trap;Sheer Force;1 Atk;Neutral;Bug;Dragon;255;N/A;
329;Vibrava;50;70;50;50;50;70;340.0;Ground;Dragon;Levitate;N/A;N/A;1 Atk/1 Spe;Neutral;Bug;Dragon;120;Lv. 35;
330;Flygon;80;100;80;80;80;100;520.0;Ground;Dragon;Levitate;N/A;N/A;1 Atk/2 Spe;Neutral;Bug;Dragon;45;Lv. 45;
331;Cacnea;50;85;40;85;40;35;335.0;Grass;N/A;Sand Veil;N/A;Water Absorb;1 SpA;Neutral;Grass;Human-Like;190;N/A;
332;Cacturne;70;115;60;115;60;55;475.0;Grass;Dark;Sand Veil;N/A;Water Absorb;1 Atk/1 SpA;Neutral;Grass;Human-Like;60;Lv. 32;
333;Swablu;45;40;60;40;75;50;310.0;Normal;Flying;Natural Cure;N/A;Cloud Nine;1 SpD;Neutral;Flying;Dragon;255;N/A;
334;Altaria;75;70;90;70;105;80;490.0;Dragon;Flying;Natural Cure;N/A;Cloud Nine;2 SpD;Neutral;Flying;Dragon;45;Lv. 35;
334;Mega Altaria;75;110;110;110;105;80;590.0;Dragon;Fairy;Pixilate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
335;Zangoose;73;115;60;60;60;90;458.0;Normal;N/A;Immunity;N/A;Toxic Boost;2 Atk;Neutral;Field;N/A;90;N;
336;Seviper;73;100;60;100;60;65;458.0;Poison;N/A;Shed Skin;N/A;Infiltrator;1 Atk/1 SpA;Neutral;Field;Dragon;90;N;
337;Lunatone;90;55;65;95;85;70;460.0;Rock;Psychic;Levitate;N/A;N/A;2 SpA;N/A;Mineral;N/A;45;N;
338;Solrock;90;95;85;55;65;70;460.0;Rock;Psychic;Levitate;N/A;N/A;2 Atk;N/A;Mineral;N/A;45;N;
339;Barboach;50;48;43;46;41;60;288.0;Water;Ground;Oblivious;Anticipate;Hydration;1 HP;Neutral;Water 2;N/A;190;N/A;
340;Whiscash;110;78;73;76;71;60;468.0;Water;Ground;Oblivious;Anticipate;Hydration;2 HP;Neutral;Water 2;N/A;75;Lv. 30;
341;Corphish;43;80;65;50;35;35;308.0;Water;N/A;Hyper Cutter;Shell Armor;Adaptability;1 Atk;Neutral;Water 1;Water 3;205;N/A;
342;Crawdaunt;63;120;85;90;55;55;468.0;Water;Dark;Hyper Cutter;Shell Armor;Adaptability;2 Atk;Neutral;Water 1;Water 3;155;Lv. 30;
343;Baltoy;40;40;55;40;70;55;300.0;Ground;Psychic;Levitate;N/A;N/A;1 SpD;N/A;Mineral;N/A;255;N/A;
344;Claydol;60;70;105;70;120;75;500.0;Ground;Psychic;Levitate;N/A;N/A;2 SpD;N/A;Mineral;N/A;90;Lv. 36;
345;Lileep;66;41;77;61;87;23;355.0;Rock;Grass;Suction Cups;N/A;Storm Drain;1 SpD;M (87.5%);Water 3;N/A;45;N/A;
346;Cradily;86;81;97;81;107;43;495.0;Rock;Grass;Suction Cups;N/A;Storm Drain;2 SpD;M (87.5%);Water 3;N/A;45;Lv. 40;
347;Anorith;45;95;50;40;50;75;355.0;Rock;Bug;Battle Armor;N/A;Swift Swim;1 Atk;M (87.5%);Water 3;N/A;45;N/A;
348;Armaldo;75;125;100;70;80;45;495.0;Rock;Bug;Battle Armor;N/A;Swift Swim;2 Atk;M (87.5%);Water 3;N/A;45;Lv. 40;
349;Feebas;20;15;20;10;55;80;200.0;Water;N/A;Swift Swim;N/A;Adaptability;1 Spe;Neutral;Water 1;Dragon;255;N/A;
350;Milotic;95;60;79;100;125;81;540.0;Water;N/A;Marvel Scale;N/A;Cute Charm;2 SpD;Neutral;Water 1;Dragon;60;Level w/ Max Beauty;
351;Castform;70;70;70;70;70;70;420.0;Normal;N/A;Forecast;N/A;N/A;1 HP;Neutral;Fairy;Amorphous;45;N;
351;Hail Castform;70;70;70;70;70;70;420.0;Ice;N/A;Forecast;N/A;N/A;1 HP;Neutral;N/A;N/A;N/A;N;
351;Rain Castform;70;70;70;70;70;70;420.0;Water;N/A;Forecast;N/A;N/A;1 HP;Neutral;N/A;N/A;N/A;N;
351;Sun Castform;70;70;70;70;70;70;420.0;Fire;N/A;Forecast;N/A;N/A;1 HP;Neutral;N/A;N/A;N/A;N;
352;Kecleon;60;90;70;60;120;40;440.0;Normal;N/A;Color Change;N/A;Protean;1 SpD;Neutral;Field;N/A;200;N;
353;Shuppet;44;75;35;63;33;45;295.0;Ghost;N/A;Insomnia;Frisk;Cursed Body;1 Atk;Neutral;Amorphous;N/A;225;N/A;
354;Banette;64;115;65;83;63;65;455.0;Ghost;N/A;Insomnia;Frisk;Cursed Body;2 Atk;Neutral;Amorphous;N/A;45;Lv. 37;
354;Mega Banette;64;165;75;93;83;75;555.0;Ghost;N/A;Prankster;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
355;Duskull;20;40;90;30;90;25;295.0;Ghost;N/A;Levitate;N/A;Frisk;1 SpD;Neutral;Amorphous;N/A;190;N/A;
356;Dusclops;40;70;130;60;130;25;455.0;Ghost;N/A;Pressure;N/A;Frisk;1 Def/1 SpD;Neutral;Amorphous;N/A;90;Lv. 37;
357;Tropius;99;68;83;72;87;51;460.0;Grass;Flying;Chlorophyll;Solar Power;Harvest;2 HP;Neutral;Monster;Grass;200;N;
358;Chimecho;75;50;80;95;90;65;455.0;Psychic;N/A;Levitate;N/A;N/A;1 SpA/1 SpD;Neutral;Amorphous;N/A;45;Nite Friendship;
358;Mega Chimecho;75;50;110;135;120;65;555.0;Psychic;Steel;Levitate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
359;Absol;65;130;60;75;60;75;465.0;Dark;N/A;Pressure;Super Luck;Justified;2 Atk;Neutral;Field;N/A;30;N;
359;Mega Absol;65;150;60;115;60;115;565.0;Dark;N/A;Magic Bounce;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
359;Mega Absol Z;65;154;60;75;60;151;565.0;Dark;Ghost;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
360;Wynaut;95;23;48;23;48;23;260.0;Psychic;N/A;Shadow Tag;N/A;Telepathy;1 HP;Neutral;-;N/A;125;N/A;
361;Snorunt;50;50;50;50;50;50;300.0;Ice;N/A;Inner Focus;Ice Body;Moody;1 HP;Neutral;Fairy;Mineral;190;N/A;
362;Glalie;80;80;80;80;80;80;480.0;Ice;N/A;Inner Focus;Ice Body;Moody;2 HP;Neutral;Fairy;Mineral;75;Lv. 42;
362;Mega Glalie;80;120;80;120;80;100;580.0;Ice;N/A;Refrigerate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
363;Spheal;70;40;50;55;50;25;290.0;Ice;Water;Thick Fat;Ice Body;Oblivious;1 HP;Neutral;Water 1;Field;255;N/A;
364;Sealeo;90;60;70;75;70;45;410.0;Ice;Water;Thick Fat;Ice Body;Oblivious;2 HP;Neutral;Water 1;Field;120;Lv. 32;
365;Walrein;110;80;90;95;90;65;530.0;Ice;Water;Thick Fat;Ice Body;Oblivious;3 HP;Neutral;Water 1;Field;45;Lv. 44;
366;Clamperl;35;64;85;74;55;32;345.0;Water;N/A;Shell Armor;N/A;Rattled;1 Def;Neutral;Water 1;N/A;255;N/A;
367;Huntail;55;104;105;94;75;52;485.0;Water;N/A;Swift Swim;N/A;Water Veil;1 Atk/1 Def;Neutral;Water 1;N/A;60;Trade w/ Deepseatooth;
368;Gorebyss;55;84;105;114;75;52;485.0;Water;N/A;Swift Swim;N/A;Hydration;2 SpA;Neutral;Water 1;N/A;60;Trade w/ Deepseascale;
369;Relicanth;100;90;130;45;65;55;485.0;Water;Rock;Swift Swim;Rock Head;Sturdy;1 HP/1 Def;M (87.5%);Water 1;Water 2;25;N;
370;Luvdisc;43;30;55;40;65;97;330.0;Water;N/A;Swift Swim;N/A;Hydration;1 Spe;F (75%);Water 2;N/A;225;N;
371;Bagon;45;75;60;40;30;50;300.0;Dragon;N/A;Rock Head;N/A;Sheer Force;1 Atk;Neutral;Dragon;N/A;45;N/A;
372;Shelgon;65;95;100;60;50;50;420.0;Dragon;N/A;Rock Head;N/A;Overcoat;2 Def;Neutral;Dragon;N/A;45;Lv. 30;
373;Mega Salamence;95;145;130;120;90;120;700.0;Dragon;Flying;Aerilate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
373;Salamence;95;135;80;110;80;100;600.0;Dragon;Flying;Intimidate;N/A;Moxie;3 Atk;Neutral;Dragon;N/A;45;Lv. 50;
374;Beldum;40;55;80;35;60;30;300.0;Steel;Psychic;Clear Body;N/A;Light Metal;1 Def;N/A;Mineral;N/A;3;N/A;
375;Metang;60;75;100;55;80;50;420.0;Steel;Psychic;Clear Body;N/A;Light Metal;2 Def;N/A;Mineral;N/A;3;Lv. 20;
376;Mega Metagross;80;145;150;105;110;110;700.0;Steel;Psychic;Tough Claws;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
376;Metagross;80;135;130;95;90;70;600.0;Steel;Psychic;Clear Body;N/A;Light Metal;3 Def;N/A;Mineral;N/A;3;Lv. 45;
377;Regirock;80;100;200;50;100;50;580.0;Rock;N/A;Clear Body;N/A;Sturdy;3 Def;N/A;-;N/A;3;N;
378;Regice;80;50;100;100;200;50;580.0;Ice;N/A;Clear Body;N/A;Ice Body;3 SpD;N/A;-;N/A;3;N;
379;Registeel;80;75;150;75;150;50;580.0;Steel;N/A;Clear Body;N/A;Light Metal;2 Def/1 SpD;N/A;-;N/A;3;N;
380;Latias;80;80;90;110;130;110;600.0;Dragon;Psychic;Levitate;N/A;N/A;3 SpD;F (100%);-;N/A;3;N;
380;Mega Latias;80;100;120;140;150;110;700.0;Dragon;Psychic;Levitate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
381;Latios;80;90;80;130;110;110;600.0;Dragon;Psychic;Levitate;N/A;N/A;3 SpA;M (100%);-;N/A;3;N;
381;Mega Latios;80;130;100;160;120;110;700.0;Dragon;Psychic;Levitate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
382;Kyogre;100;100;90;150;140;90;670.0;Water;N/A;Drizzle;N/A;N/A;3 SpA;N/A;-;N/A;3;N;
382;Primal Kyogre;100;150;90;180;160;90;770.0;Water;N/A;Primordial Sea;N/A;N/A;3 SpA;N/A;N/A;N/A;N/A;N;
383;Groudon;100;150;140;100;90;90;670.0;Ground;N/A;Drought;N/A;N/A;3 Atk;N/A;-;N/A;3;N;
383;Primal Groudon;100;180;160;150;90;90;770.0;Fire;Ground;Desolate Land;N/A;N/A;3 Atk;N/A;N/A;N/A;N/A;N;
384;Mega Rayquaza;105;180;100;180;100;115;780.0;Dragon;Flying;Delta Stream;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
384;Rayquaza;105;150;90;150;90;95;680.0;Dragon;Flying;Air Lock;N/A;N/A;2 Atk/1 SpA;N/A;-;N/A;45;N;
385;Jirachi;100;100;100;100;100;100;600.0;Steel;Psychic;Serene Grace;N/A;N/A;3 HP;N/A;-;N/A;3;N;
386;Deoxys (N);50;150;50;150;50;150;600.0;Psychic;N/A;Pressure;N/A;N/A;1 Atk/1 SpA/1 Spe;N/A;-;N/A;3;N;
387;Turtwig;55;68;64;45;55;31;318.0;Grass;N/A;Overgrow;N/A;Shell Armor;1 Atk;M (87.5%);Monster;Grass;45;N/A;
388;Grotle;75;89;85;55;65;36;405.0;Grass;N/A;Overgrow;N/A;Shell Armor;1 Atk/1 Def;M (87.5%);Monster;Grass;45;Lv. 18;
389;Torterra;95;109;105;75;85;56;525.0;Grass;Ground;Overgrow;N/A;Shell Armor;2 Atk/1 Def;M (87.5%);Monster;Grass;45;Lv. 32;
390;Arboliva;78;69;90;125;109;39;510.0;Grass;Normal;Seed Sower;N/A;Harvest;3 SpA;Neutral;Grass;N/A;45;Level 35;
390;Chimchar;44;58;44;58;44;61;309.0;Fire;N/A;Blaze;N/A;Iron Fist;1 Spe;M (87.5%);Field;Human-Like;45;N/A;
391;Monferno;64;78;52;78;52;81;405.0;Fire;Fighting;Blaze;N/A;Iron Fist;1 Spe/1 SpA;M (87.5%);Field;Human-Like;45;Lv. 14;
392;Infernape;76;104;71;104;71;108;534.0;Fire;Fighting;Blaze;N/A;Iron Fist;1 Atk/1 SpA/1 Spe;M (87.5%);Field;Human-Like;45;Lv. 36;
393;Piplup;53;51;53;61;56;40;314.0;Water;N/A;Torrent;N/A;Defiant;1 SpA;M (87.5%);Water 1;Field;45;N/A;
394;Prinplup;64;66;68;81;76;50;405.0;Water;N/A;Torrent;N/A;Defiant;2 SpA;M (87.5%);Water 1;Field;45;Lv. 16;
395;Empoleon;84;86;88;111;101;60;530.0;Water;Steel;Torrent;N/A;Defiant;3 SpA;M (87.5%);Water 1;Field;45;Lv. 36;
396;Starly;40;55;30;30;30;60;245.0;Normal;Flying;Keen Eye;N/A;Reckless;1 Spe;Neutral;Flying;N/A;255;N/A;
397;Staravia;55;75;50;40;40;80;340.0;Normal;Flying;Intimidate;N/A;Reckless;2 Spe;Neutral;Flying;N/A;120;Lv. 14;
398;Staraptor;85;120;70;50;60;100;485.0;Normal;Flying;Intimidate;N/A;Reckless;3 Atk;Neutral;Flying;N/A;45;Lv. 34;
399;Bidoof;59;45;40;35;40;31;250.0;Normal;N/A;Simple;Unaware;Moody;1 HP;Neutral;Water 1;Field;255;N/A;
400;Bibarel;79;85;60;55;60;71;410.0;Normal;Water;Simple;Unaware;Moody;2 Atk;Neutral;Water 1;Field;127;Lv. 15;
401;Kricketot;37;25;41;25;41;25;194.0;Bug;N/A;Shed Skin;N/A;Run Away;1 Def;Neutral;Bug;N/A;255;N/A;
402;Kricketune;77;85;51;55;51;65;384.0;Bug;N/A;Swarm;N/A;Technician;2 Atk;Neutral;Bug;N/A;45;Lv. 10;
403;Shinx;45;65;34;40;34;45;263.0;Electric;N/A;Rivalry;Intimidate;Guts;1Atk;Neutral;Field;N/A;235;N/A;
404;Luxio;60;85;49;60;49;60;363.0;Electric;N/A;Rivalry;Intimidate;Guts;2 Atk;Neutral;Field;N/A;120;Lv. 15;
405;Luxray;80;120;79;95;79;70;523.0;Electric;N/A;Rivalry;Intimidate;Guts;3 Atk;Neutral;Field;N/A;45;Lv. 30;
406;Budew;40;30;35;50;70;55;280.0;Grass;Poison;Natural Cure;Poison Point;Leaf Guard;1 SpA;Neutral;-;N/A;255;N/A;
407;Roserade;60;70;65;125;105;90;515.0;Grass;Poison;Natural Cure;Poison Point;Technician;3 SpA;Neutral;Fairy;Grass;75;Shiny Stone;
408;Cranidos;67;125;40;30;30;58;350.0;Rock;N/A;Mold Breaker;N/A;Sheer Force;1 Atk;M (87.5%);Monster;N/A;45;N/A;
409;Rampardos;97;165;60;65;50;58;495.0;Rock;N/A;Mold Breaker;N/A;Sheer Force;2 Atk;M (87.5%);Monster;N/A;45;Lv. 30;
410;Shieldon;30;42;118;42;88;30;350.0;Rock;Steel;Sturdy;N/A;Soundproof;1 Def;M (87.5%);Monster;N/A;45;N/A;
411;Bastiodon;60;52;168;47;138;30;495.0;Rock;Steel;Sturdy;N/A;Soundproof;2 Def;M (87.5%);Monster;N/A;45;Lv. 30;
412;Burmy;40;29;45;29;45;36;224.0;Bug;N/A;Shed Skin;N/A;Overcoat;1 SpD;Neutral;Bug;N/A;120;N/A;
413;Wormadam (P);60;59;85;79;105;36;424.0;Bug;Grass;Anticipate;N/A;Overcoat;2 SpD;F (100%);Bug;N/A;45;Lv. 20F Plant Cloak;
414;Mothim;70;94;50;94;50;66;424.0;Bug;Flying;Swarm;N/A;Tinted Lens;1 Atk/1 SpA;M (100%);Bug;N/A;45;Lv. 20M;
415;Combee;30;30;42;30;42;70;244.0;Bug;Flying;Honey Gather;N/A;Hustle;1 Spe;M (87.5%);Bug;N/A;120;N/A;
416;Vespiquen;70;80;102;80;102;40;474.0;Bug;Flying;Pressure;N/A;Unnerve;1 Def/1 SpD;F (100%);Bug;N/A;45;Lv. 21F;
417;Pachirisu;60;45;70;45;90;95;405.0;Electric;N/A;Run Away;Pickup;Volt Absorb;1 Spe;Neutral;Field;Fairy;200;N;
418;Buizel;55;65;35;60;30;85;330.0;Water;N/A;Swift Swim;N/A;Water Veil;1 Spe;Neutral;Water 1;Field;190;N/A;
419;Floatzel;85;105;55;85;50;115;495.0;Water;N/A;Swift Swim;N/A;Water Veil;2 Spe;Neutral;Water 1;Field;75;Lv. 26;
420;Cherubi;45;35;45;62;53;35;275.0;Grass;N/A;Chlorophyll;N/A;N/A;1 SpA;Neutral;Fairy;Grass;190;N/A;
421;Cherrim;70;60;70;87;78;85;450.0;Grass;N/A;Flower Gift;N/A;N/A;2 SpA;Neutral;Fairy;Grass;75;Lv. 25;
422;Shellos;76;48;48;57;62;34;325.0;Water;N/A;Sticky Hold;Storm Drain;Sand Force;1 HP;Neutral;Water 1;Amorphous;190;N/A;
423;Gastrodon;111;83;68;92;82;39;475.0;Water;Ground;Sticky Hold;Storm Drain;Sand Force;2 HP;Neutral;Water 1;Amorphous;75;Lv. 30;
424;Ambipom;75;100;66;60;66;115;482.0;Normal;N/A;Technician;Pickup;Skill Link;2 Spe;Neutral;Field;N/A;45;Level w/ Double Hit;
425;Drifloon;90;50;34;60;44;70;348.0;Ghost;Flying;Aftermath;Unburden;Flare Boost;1 HP;Neutral;Amorphous;N/A;125;N/A;
426;Drifblim;150;80;44;90;54;80;498.0;Ghost;Flying;Aftermath;Unburden;Flare Boost;2 HP;Neutral;Amorphous;N/A;60;Lv. 28;
427;Buneary;55;66;44;44;56;85;350.0;Normal;N/A;Run Away;Klutz;Limber;1 Spe;Neutral;Field;Human-Like;190;N/A;
428;Lopunny;65;76;84;54;96;105;480.0;Normal;N/A;Cute Charm;Klutz;Limber;2 Spe;Neutral;Field;Human-Like;60;Friendship;
428;Mega Lopunny;65;136;94;54;96;135;580.0;Normal;Fighting;Scrappy;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
429;Mismagius;60;60;60;105;105;105;495.0;Ghost;N/A;Levitate;N/A;N/A;1 SpA/1 SpD;Neutral;Amorphous;N/A;45;Dusk Stone;
430;Honchkrow;100;125;52;105;52;71;505.0;Dark;Flying;Insomnia;Super Luck;Moxie;2 Atk;Neutral;Flying;N/A;30;Dusk Stone;
